timestamp,temperature,humidity,temp_rate,humi_ratepredicted_label,real_label,confidence_score,prob_bg,prob_nuisance,prob_fire,inference_time_ms,memory_usage_bytes
2026-05-15 20:30:03,29.10,76.70,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:30:05,29.10,76.70,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:30:07,29.00,77.30,-0.0500,0.2999,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:30:09,29.00,77.30,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:30:11,28.90,77.00,-0.0500,-0.1499,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:30:13,28.90,77.00,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:30:15,28.90,77.00,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:30:17,29.00,77.40,0.0500,0.1999,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:30:19,29.00,77.40,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.18,912
2026-05-15 20:30:21,29.20,77.50,0.1000,0.0500,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:30:23,29.20,77.50,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:30:25,29.20,77.50,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:30:27,28.80,77.20,-0.1999,-0.1499,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:30:29,28.80,77.20,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:30:31,28.80,76.70,0.0000,-0.2499,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:30:33,28.80,76.70,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:30:35,28.80,76.70,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:30:37,29.20,77.10,0.2000,0.2000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:30:39,29.20,77.10,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:30:41,29.00,76.80,-0.1000,-0.1499,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:30:43,29.00,76.80,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:30:45,29.00,76.80,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:30:47,28.90,77.40,-0.0500,0.2998,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:30:49,28.90,77.40,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:30:51,29.10,76.80,0.1000,-0.2998,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:30:53,29.10,76.80,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:30:55,29.10,76.80,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:30:57,28.80,77.40,-0.1499,0.2998,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
